bit_change,one_ratio,prefix_number,zero_ratio,is_prefix,max_len,total_len,word_number,classe
0,0.6666666666666666,3,0.3333333333333333,1,3,3,1,1
1,0.5714285714285714,6,0.42857142857142855,1,4,7,2,1
3,0.29411764705882354,14,0.7058823529411765,0,6,17,4,1
2,0.38461538461538464,12,0.6153846153846154,1,6,13,3,1
3,0.2777777777777778,12,0.7222222222222222,0,6,18,5,1
3,0.6153846153846154,22,0.38461538461538464,1,7,26,4,1
3,0.4117647058823529,14,0.5882352941176471,1,7,17,4,1
0,1.0,1,0.0,1,1,1,1,1
4,0.4,20,0.6,0,7,25,5,1
0,0.42857142857142855,7,0.5714285714285714,1,7,7,1,1
1,0.375,8,0.625,1,6,8,2,1
2,0.47368421052631576,16,0.5263157894736842,1,7,19,3,1
4,0.5217391304347826,15,0.4782608695652174,0,6,23,5,1
4,0.30434782608695654,13,0.6956521739130435,0,6,23,5,0
1,0.6666666666666666,9,0.3333333333333333,1,6,9,2,1
3,0.45454545454545453,9,0.5454545454545454,0,6,11,4,0
0,0.5,2,0.5,1,2,2,1,1
3,0.3888888888888889,14,0.6111111111111112,0,7,18,4,1
4,0.4230769230769231,22,0.5769230769230769,0,7,26,5,1
1,0.5,7,0.5,1,5,8,2,1
3,0.6470588235294118,9,0.35294117647058826,0,6,17,4,0
0,0.6666666666666666,6,0.3333333333333333,1,6,6,1,1
4,0.52,18,0.48,1,6,25,5,1
1,0.5,10,0.5,1,5,10,2,1
0,0.6,5,0.4,1,5,5,1,1
1,0.6666666666666666,8,0.3333333333333333,1,6,9,2,1
3,0.45454545454545453,8,0.5454545454545454,0,4,11,4,1
4,0.6111111111111112,14,0.3888888888888889,0,7,18,5,0
0,0.5,6,0.5,1,6,6,1,1
3,0.6,11,0.4,0,6,15,4,0
1,0.6363636363636364,11,0.36363636363636365,1,6,11,2,1
2,0.3,8,0.7,0,6,10,4,0
4,0.42857142857142855,15,0.5714285714285714,0,7,21,5,1
1,0.6666666666666666,3,0.3333333333333333,1,2,3,2,1
4,0.47368421052631576,12,0.5263157894736842,0,5,19,5,1
4,0.3888888888888889,14,0.6111111111111112,0,7,18,5,0
4,0.30434782608695654,17,0.6956521739130435,0,7,23,5,1
2,0.375,6,0.625,1,3,8,3,1
4,0.5294117647058824,12,0.47058823529411764,0,4,17,5,0
1,0.6363636363636364,9,0.36363636363636365,1,6,11,2,1
2,0.5714285714285714,6,0.42857142857142855,0,5,7,3,0
2,0.5454545454545454,10,0.45454545454545453,0,5,11,3,1
4,0.5384615384615384,18,0.46153846153846156,1,7,26,5,1
1,0.7142857142857143,6,0.2857142857142857,0,6,7,2,1
2,0.47058823529411764,13,0.5294117647058824,0,7,17,3,1
3,0.5454545454545454,8,0.45454545454545453,0,5,11,4,0
0,0.0,1,1.0,1,1,1,1,1
4,0.625,18,0.375,0,7,24,5,0
1,0.42857142857142855,7,0.5714285714285714,1,4,7,2,1
3,0.7368421052631579,10,0.2631578947368421,0,7,19,4,1
0,0.5714285714285714,7,0.42857142857142855,1,7,7,1,1
2,0.4117647058823529,15,0.5882352941176471,1,7,17,3,1
4,0.5,18,0.5,1,7,24,5,1
2,0.5454545454545454,6,0.45454545454545453,0,4,11,4,0
2,0.5,9,0.5,1,6,10,3,1
2,0.4166666666666667,11,0.5833333333333334,1,6,12,3,1
4,0.45454545454545453,8,0.5454545454545454,0,4,11,5,0
2,0.47058823529411764,16,0.5294117647058824,1,7,17,3,1
2,0.6,8,0.4,0,7,10,3,0
3,0.8,12,0.2,0,5,15,4,0
3,0.4,16,0.6,1,7,20,4,1
3,0.625,14,0.375,0,6,16,4,1
2,0.5,9,0.5,0,5,10,3,1
3,0.6153846153846154,8,0.38461538461538464,0,4,13,4,1
0,0.8333333333333334,6,0.16666666666666666,1,6,6,1,1
3,0.5238095238095238,18,0.47619047619047616,1,7,21,4,1
1,0.0,3,1.0,0,3,5,2,0
1,0.5,2,0.5,1,1,2,2,1
1,0.45454545454545453,10,0.5454545454545454,1,6,11,2,1
3,0.35294117647058826,14,0.6470588235294118,1,6,17,4,1
0,0.2,5,0.8,1,5,5,1,1
4,0.4,10,0.6,0,5,15,5,0
2,0.3076923076923077,10,0.6923076923076923,1,7,13,3,1
3,0.45,17,0.55,0,7,20,4,1
0,0.0,2,1.0,1,2,2,1,1
1,0.3333333333333333,9,0.6666666666666666,1,7,9,2,1
3,0.29411764705882354,14,0.7058823529411765,0,7,17,4,0
2,0.45454545454545453,10,0.5454545454545454,0,6,11,3,1
4,0.3181818181818182,18,0.6818181818181818,0,7,22,5,0
2,0.5714285714285714,10,0.42857142857142855,0,7,14,3,1
0,0.75,4,0.25,1,4,4,1,1
0,0.5714285714285714,7,0.42857142857142855,1,7,7,1,1
1,0.5,8,0.5,1,5,8,2,1
2,0.2,9,0.8,0,6,10,3,0
4,0.625,13,0.375,0,5,16,5,0
1,0.5,4,0.5,0,4,6,3,1
4,0.45,14,0.55,0,6,20,5,1
0,0.4,5,0.6,1,5,5,1,1
3,0.5714285714285714,5,0.42857142857142855,0,4,7,4,0
3,0.5333333333333333,13,0.4666666666666667,1,6,15,4,1
2,0.5,10,0.5,1,7,12,3,1
0,0.7142857142857143,7,0.2857142857142857,1,7,7,1,1
0,0.4,5,0.6,1,5,5,1,1
4,0.52,17,0.48,1,7,25,5,1
3,0.4444444444444444,14,0.5555555555555556,0,7,18,4,1
4,0.6666666666666666,11,0.3333333333333333,0,6,18,5,0
4,0.41935483870967744,27,0.5806451612903226,1,7,31,5,1
0,0.6666666666666666,3,0.3333333333333333,1,3,3,1,1
3,0.4583333333333333,21,0.5416666666666666,1,7,24,4,1
3,0.4,18,0.6,0,7,25,4,1
3,0.4,13,0.6,1,6,15,4,1
1,0.36363636363636365,11,0.6363636363636364,1,7,11,2,1
3,0.7142857142857143,19,0.2857142857142857,1,7,21,4,1
2,0.375,7,0.625,1,4,8,3,1
2,0.2857142857142857,11,0.7142857142857143,0,6,14,4,1
2,0.2857142857142857,4,0.7142857142857143,0,4,7,3,0
0,0.6,5,0.4,1,5,5,1,1
1,0.25,5,0.75,0,5,8,2,1
3,0.6923076923076923,10,0.3076923076923077,0,6,13,4,0
4,0.5,18,0.5,0,7,22,5,1
0,0.25,4,0.75,1,4,4,1,1
2,0.6666666666666666,5,0.3333333333333333,1,3,6,3,1
3,0.6,12,0.4,1,5,15,4,1
2,0.5555555555555556,8,0.4444444444444444,0,7,9,3,0
3,0.3,16,0.7,1,7,20,4,1
1,0.625,7,0.375,1,5,8,2,1
4,0.3125,12,0.6875,0,6,16,5,0
3,0.4375,13,0.5625,1,5,16,4,1
0,0.6,5,0.4,1,5,5,1,1
4,0.45454545454545453,8,0.5454545454545454,0,4,11,5,0
4,0.45454545454545453,17,0.5454545454545454,0,6,22,5,1
2,0.5,13,0.5,0,7,14,3,1
